#  BK WIDE OPEN WEST GEOFEEDS 6-10-2022,,,
64.53.175.0/24,US,US-MI,Livonia
24.35.25.0/24,US,US-MI,Livonia
24.35.46.0/24,US,US-MI,Livonia
143.59.140.0/24,US,US-MI,Livonia
69.14.220.0/24,US,US-MI,Livonia
69.14.168.0/21,US,US-MI,Livonia
69.14.104.0/21,US,US-MI,Livonia
69.14.48.0/21,US,US-MI,Livonia
23.28.200.0/24,US,US-MI,Livonia
67.149.83.0/24,US,US-MI,Livonia
69.1.35.0/24,US,US-MI,Livonia
67.149.25.0/24,US,US-MI,Livonia
24.192.22.0/24,US,US-MI,Livonia
24.192.124.0/24,US,US-MI,Livonia
69.14.93.0/24,US,US-MI,Livonia
69.14.221.0/24,US,US-MI,Livonia
96.27.196.0/24,US,US-MI,Livonia
23.28.203.0/24,US,US-MI,Livonia
74.199.62.0/24,US,US-MI,Livonia
24.96.93.0/24,US,US-MI,Livonia
74.199.120.0/22,US,US-MI,Livonia
96.27.127.0/24,US,US-MI,Livonia
96.27.98.0/24,US,US-MI,Livonia
143.59.67.0/24,US,US-MI,Livonia
143.59.71.0/24,US,US-MI,Livonia
143.59.73.0/24,US,US-MI,Livonia
67.149.116.0/24,US,US-MI,Livonia
67.149.10.0/24,US,US-MI,Livonia
23.28.232.0/24,US,US-MI,Livonia
96.27.99.0/24,US,US-MI,Livonia
50.4.97.0/24,US,US-MI,Livonia
64.53.174.0/24,US,US-MI,Livonia
74.199.92.0/24,US,US-MI,Livonia
24.214.48.0/24,US,US-MI,Livonia
67.149.30.0/24,US,US-MI,Livonia
50.4.160.0/20,US,US-MI,Northville
143.59.100.128/26,US,US-MI,Northville
143.59.100.192/26,US,US-MI,Northville
23.28.112.0/21,US,US-MI,Redford
69.14.64.0/22,US,US-MI,Redford
64.233.197.0/24,US,US-MI,Redford
69.14.244.0/23,US,US-MI,Redford
69.14.161.0/24,US,US-MI,Redford
24.236.107.0/24,US,US-MI,Redford
24.35.15.0/24,US,US-MI,Redford
24.192.1.0/24,US,US-MI,Redford
74.199.94.0/24,US,US-MI,Redford
23.28.156.0/24,US,US-MI,Redford
96.27.207.0/24,US,US-MI,Redford
96.27.174.0/24,US,US-MI,Redford
143.59.14.0/24,US,US-MI,Redford
143.59.69.0/24,US,US-MI,Redford
143.59.86.0/24,US,US-MI,Redford
96.27.65.0/24,US,US-MI,Redford
69.14.213.0/24,US,US-MI,Redford
74.199.59.0/24,US,US-MI,Redford
24.35.30.0/24,US,US-MI,Redford
143.59.241.0/25,US,US-MI,Redford
143.59.139.0/24,US,US-MI,Redford
50.4.100.0/24,US,US-MI,Redford
24.192.160.0/21,US,US-MI,Roseville
24.192.168.0/21,US,US-MI,Roseville
69.14.128.0/21,US,US-MI,Roseville
69.14.0.0/21,US,US-MI,Roseville
24.192.176.0/21,US,US-MI,Roseville
24.192.184.0/21,US,US-MI,Roseville
69.14.80.0/21,US,US-MI,Roseville
74.199.64.0/21,US,US-MI,Roseville
24.192.40.0/21,US,US-MI,Roseville
76.73.128.0/24,US,US-MI,Roseville
50.4.240.0/20,US,US-MI,Roseville
24.192.208.0/20,US,US-MI,Roseville
50.4.192.0/20,US,US-MI,Roseville
24.192.112.0/21,US,US-MI,Roseville
67.149.112.0/22,US,US-MI,Royal Oak
50.4.236.0/22,US,US-MI,Royal Oak
69.14.112.0/22,US,US-MI,Royal Oak
69.14.32.0/22,US,US-MI,Royal Oak
67.149.160.0/20,US,US-MI,Royal Oak
67.149.0.0/21,US,US-MI,Royal Oak
69.14.224.0/22,US,US-MI,Royal Oak
74.199.80.0/22,US,US-MI,Royal Oak
67.149.228.0/22,US,US-MI,Royal Oak
74.199.84.0/22,US,US-MI,Royal Oak
67.149.16.0/23,US,US-MI,Royal Oak
67.149.56.0/21,US,US-MI,Royal Oak
67.149.104.0/22,US,US-MI,Royal Oak
74.199.52.0/22,US,US-MI,Royal Oak
